"Name","SID","PrincipalSource","ObjectClass"
"DESKTOP-RREK6V6\Administrator","S-1-5-21-1184790788-4191357142-2730981539-500","Local","User"
"DESKTOP-RREK6V6\Parashar11","S-1-5-21-1184790788-4191357142-2730981539-1001","Local","User"
